ID,Name,Country of Incorporation,Country of Incorporation,GICS Sector Name,GICS Sector Name
0165.HK,中國光大控股有限公司,Hong Kong,Hong Kong,Financials,Financials
0174.HK,盛洋投資（控股）有限公司,Hong Kong,Hong Kong,Financials,Financials
0376.HK,雲鋒金融集團有限公司,Hong Kong,Hong Kong,Financials,Financials
0222.HK,閩信集團有限公司,Hong Kong,Hong Kong,Financials,Financials
0218.HK,申萬宏源（香港）有限公司,Hong Kong,Hong Kong,Financials,Financials
0227.HK,第一上海投資有限公司,Hong Kong,Hong Kong,Financials,Financials
0245.HK,中薇金融控股有限公司,Hong Kong,Hong Kong,Financials,Financials
0086.HK,新鴻基有限公司,Hong Kong,Hong Kong,Financials,Financials
0668.HK,東銀國際控股有限公司,Hong Kong,Hong Kong,Financials,Financials
0605.HK,中國金融投資管理有限公司,Hong Kong,Hong Kong,Financials,Financials
0619.HK,南華金融控股有限公司,Hong Kong,Hong Kong,Financials,Financials
0900.HK,AEON信貸財務（亞洲）有限公司,Hong Kong,Hong Kong,Financials,Financials
0133.HK,招商局中國基金有限公司,Hong Kong,Hong Kong,Financials,Financials
0388.HK,香港交易及結算所有限公司,Hong Kong,Hong Kong,Financials,Financials
0966.HK,中國太平保險控股有限公司,Hong Kong,Hong Kong,Financials,Financials
0821.HK,?盈控股有限公司,Hong Kong,Hong Kong,Financials,Financials
2388.HK,中銀香港（控股）有限公司,Hong Kong,Hong Kong,Financials,Financials
2356.HK,大新銀行集團有限公司,Hong Kong,Hong Kong,Financials,Financials
JRJCY.PK,中國金融在?有限公司,Hong Kong,Hong Kong,Financials,Financials
1788.HK,國泰君安國際控股有限公司,Hong Kong,Hong Kong,Financials,Financials
1299.HK,友邦保險控股有限公司,Hong Kong,Hong Kong,Financials,Financials
3360.HK,遠東宏信有限公司,Hong Kong,Hong Kong,Financials,Financials
FTC.AX,FinTech Chain Ltd,Hong Kong,Hong Kong,Financials,Financials
2666.HK,通用環球醫療集團有限公司,Hong Kong,Hong Kong,Financials,Financials
3329.HK,交銀國際控股有限公司,Hong Kong,Hong Kong,Financials,Financials
3877.HK,中國船舶集團（香港）航運租賃有限公司,Hong Kong,Hong Kong,Financials,Financials
AMMB.KL,AMMB Holdings Bhd,Malaysia,Malaysia,Financials,Financials
CIMB.KL,CIMB Group Holdings Bhd,Malaysia,Malaysia,Financials,Financials
RHBC.KL,RHB Bank Bhd,Malaysia,Malaysia,Financials,Financials
MBSB.KL,MBSB Bhd,Malaysia,Malaysia,Financials,Financials
ALLI.KL,Alliance Bank Malaysia Bhd,Malaysia,Malaysia,Financials,Financials
TAKA.KL,Syarikat Takaful Malaysia Keluarga Bhd,Malaysia,Malaysia,Financials,Financials
KCDS.KL,Kuchai Development Bhd,Malaysia,Malaysia,Financials,Financials
AINM.KL,Allianz Malaysia Bhd,Malaysia,Malaysia,Financials,Financials
PERM.KL,Pertama Digital Bhd,Malaysia,Malaysia,Financials,Financials
INSS.KL,Insas Bhd,Malaysia,Malaysia,Financials,Financials
PUBM.KL,Public Bank Bhd,Malaysia,Malaysia,Financials,Financials
MNLF.KL,Manulife Holdings Bhd,Malaysia,Malaysia,Financials,Financials
AFIN.KL,Affin Bank Bhd,Malaysia,Malaysia,Financials,Financials
APES.KL,Apex Equity Holdings Bhd,Malaysia,Malaysia,Financials,Financials
HLGC.KL,Hong Leong Capital Bhd,Malaysia,Malaysia,Financials,Financials
JHHS.KL,Johan Holdings Bhd,Malaysia,Malaysia,Financials,Financials
MAAS.KL,MAA Group Bhd,Malaysia,Malaysia,Financials,Financials
BIMB.KL,Bank Islam Malaysia Bhd,Malaysia,Malaysia,Financials,Financials
LOND.KL,Lpi Capital Bhd,Malaysia,Malaysia,Financials,Financials
PACO.KL,Pacific & Orient Bhd,Malaysia,Malaysia,Financials,Financials
MNRB.KL,MNRB Holdings Bhd,Malaysia,Malaysia,Financials,Financials
KNNK.KL,Kenanga Investment Bank Bhd,Malaysia,Malaysia,Financials,Financials
IGBB.KL,Igb Bhd,Malaysia,Malaysia,Financials,Financials
REDI.KL,Rce Capital Bhd,Malaysia,Malaysia,Financials,Financials
HLCB.KL,Hong Leong Financial Group Bhd,Malaysia,Malaysia,Financials,Financials
MBBM.KL,Malayan Banking Bhd,Malaysia,Malaysia,Financials,Financials
MITC.KL,Mulpha International Bhd,Malaysia,Malaysia,Financials,Financials
HLBB.KL,Hong Leong Bank Bhd,Malaysia,Malaysia,Financials,Financials
OSKV.KL,Osk Ventures International Bhd,Malaysia,Malaysia,Financials,Financials
BMYS.KL,Bursa Malaysia Bhd,Malaysia,Malaysia,Financials,Financials
ANCR.KL,AEON Credit Service (M) Bhd,Malaysia,Malaysia,Financials,Financials
FINT.KL,Fintec Global Bhd,Malaysia,Malaysia,Financials,Financials
ELKD.KL,ELK-Desa Resources Bhd,Malaysia,Malaysia,Financials,Financials
TUNE.KL,Tune Protect Group Bhd,Malaysia,Malaysia,Financials,Financials
REVE.KL,Revenue Group Bhd,Malaysia,Malaysia,Financials,Financials
EQUI.KL,EquitiesTracker Holdings Bhd,Malaysia,Malaysia,Financials,Financials
PAPP.KL,Pappajack Bhd,Malaysia,Malaysia,Financials,Financials
MERC.KL,Mercury Securities Group Bhd,Malaysia,Malaysia,Financials,Financials
EVEG.KL,Evergreen Max Cash Capital Bhd,Malaysia,Malaysia,Financials,Financials
WELC.KL,Well Chip Group Bhd,Malaysia,Malaysia,Financials,Financials
AYUD.BK,Allianz Ayudhya Capital PCL,Thailand,Thailand,Financials,Financials
BAY.BK,Bank of Ayudhya PCL,Thailand,Thailand,Financials,Financials
BUI.BK,Bangkok Union Insurance PCL,Thailand,Thailand,Financials,Financials
KWI.BK,KWI PCL,Thailand,Thailand,Financials,Financials
KGI.BK,KGI Securities (Thailand) PCL,Thailand,Thailand,Financials,Financials
CIMBT.BK,CIMB Thai Bank PCL,Thailand,Thailand,Financials,Financials
ASP.BK,Asia Plus Group Holdings PCL,Thailand,Thailand,Financials,Financials
CHARAN.BK,Charan Insurance PCL,Thailand,Thailand,Financials,Financials
TIPH.BK,Dhipaya Group Holdings PCL,Thailand,Thailand,Financials,Financials
SGFm.BK,SGF Capital PCL,Thailand,Thailand,Financials,Financials
